Title,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Read,Random Book,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
A Dark Adapted Eye,,,,,,,,,,,,,,,,A Dark Adapted Eye
A Dark Night's Passing,Isaac Bashevis Singer,1973,Polish,english,,False,,,,,,,,,,A Dark Night's Passing
"A Daughter of Fair Verona (Daughter of Montague, #1)",Stephanie Garber,,,,,False,,,,,,,,,,"A Daughter of Fair Verona (Daughter of Montague, #1)"
A Day In Spring,Victor Pelevin,2004,Russian,russian,336,False,,,,,,,,,,A Day In Spring
A Day Like This,Diana Pinguicha,,,,,False,,,,,,,,,,A Day Like This
A Day of Fallen Night (The Roots of Chaos #0),Anthony Powell,1951,British,english,240-300,False,,,,,,,,,,A Day of Fallen Night (The Roots of Chaos #0)
A Day Off,George R. R. Martin,2011,American,english,959-1125,False,,,,,,,,,,A Day Off
"A Deadly Education (The Scholomance, #1)",Elise Kova,,,,,False,,,,,,,,,,"A Deadly Education (The Scholomance, #1)"
"A Deal with the Elf King (Married to Magic, #1)",Barbara Vine,1986,British,english,,False,,,,,,,,,,"A Deal with the Elf King (Married to Magic, #1)"
A Deepness in the Sky,Naoya Shiga,1937,Japanese,japanese,,False,,,,,,,,,,A Deepness in the Sky
A Demon In My View,,,,,,,,,,,,,,,,A Demon In My View
"A Desolation Called Peace (Teixcalaan, #2)",,,,,,,,,,,,,,,,"A Desolation Called Peace (Teixcalaan, #2)"
A Distant Mirror,,,,,,,,,,,,,,,,A Distant Mirror
A Doll's House,,,,,,,,,,,,,,,,A Doll's House
A Doll's House,Scott Smith,2006,American,english,319-384,False,,,,,,,,,,A Doll's House
"A Dowry of Blood (A Dowry of Blood, #1)",,,,,,,,,,,,,,,,"A Dowry of Blood (A Dowry of Blood, #1)"
A Dram Of Poison,Kelley McNeil,,,,,False,,,,,,,,,,A Dram Of Poison
A Dry White Season,Samantha Shannon,,,,,False,,,,,,,,,,A Dry White Season
A Fable,Storm Jameson,1933,British,english,,False,,,,,,,,,,A Fable
A Fanatic Heart,Naomi Novik,,,,,False,,,,,,,,,,A Fanatic Heart
A Farewell to Arms,Elise Kova,,,,,False,,,,,,,,,,A Farewell to Arms
A Fatal Inversion,Vernor Vinge,1999,American,english,775,False,,,,,,,,,,A Fatal Inversion
"A Fate Inked in Blood (Saga of the Unfated, #1)",Ruth Rendell,1976,British,english,224,False,,,,,,,,,,"A Fate Inked in Blood (Saga of the Unfated, #1)"
A Feast For Crows,Arkady Martine,,,,,False,,,,,,,,,,A Feast For Crows
A Feast Unknown,Barbara Wertheim Tuchman,1978,American,english,600-640,False,,,,,,,,,,A Feast Unknown
"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Henrik Ibsen,1879,Norwegian,norwegian,70-100,False,,,,,,,,,,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them"
A Field Guide to the Birds,S.T. Gibson,,,,,False,,,,,,,,,,A Field Guide to the Birds
A Fig for All the Devils,Charlotte Armstrong,1956,American,english,,False,,,,,,,,,,A Fig for All the Devils
A Fine And Private Place,Andre Brink,1979,South African,english,200-300,False,,,,,,,,,,A Fine And Private Place
A Fine Balance,William Faulkner,1954,American,english,384,False,,,,,,,,,,A Fine Balance
A Fire Upon the Deep,Edna O'Brien,1974,Irish,english,448,False,,,,,,,,,,A Fire Upon the Deep
A Firehose of Falsehood: The Story of Disinformation,Ernest Hemingway,1929,American,english,300-500,False,,,,,,,,,,A Firehose of Falsehood: The Story of Disinformation
A Flag For Sunrise,Barbara Vine,1987,British,english,320,False,,,,,,,,,,A Flag For Sunrise
