Title,Writer,Publisher,Run,Read,Random Comic,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Avatar: The Last Airbender - The Lost Adventures,Various,Dark Horse,9.0,False,,,,,,,,,,,Avatar: The Last Airbender - The Lost Adventures
Avatar: The Legend of Korra - Turf Wars,"DiMartino, Michael",Dark Horse,10.0,False,,,,,,,,,,,Avatar: The Legend of Korra - Turf Wars
Avengers,"Busiek, Kurt",Marvel,70.0,False,,,,,,,,,,,Avengers
Avengers A.I.,"Humphries, Sam",Marvel,12.0,False,,,,,,,,,,,Avengers A.I.
Avengers Academy,"Gage, Christos",Marvel,40.0,False,,,,,,,,,,,Avengers Academy
Avengers Arena/Undercover,"Hopeless, Dennis",Marvel,28.0,False,,,,,,,,,,,Avengers Arena/Undercover
Avengers: Hawkeye: Earth's Mightiest Marksman,"Dixon, Chuck",Marvel,7.0,False,,,,,,,,,,,Avengers: Hawkeye: Earth's Mightiest Marksman
Avengers: No Surrender/No Road Home,Various,Marvel,27.0,False,,,,,,,,,,,Avengers: No Surrender/No Road Home
Avengers: The Initiative,"Slott, Dan",Marvel,35.0,False,,,,,,,,,,,Avengers: The Initiative
Avengers: The Kree/Skrull War,"Thomas, Roy",Marvel,19.0,False,,,,,,,,,,,Avengers: The Kree/Skrull War
Avengers/New Avengers/Infinity,"Hickman, Jonathan",Marvel,83.0,False,,,,,,,,,,,Avengers/New Avengers/Infinity
Babyteeth,"Cates, Donny",Aftershock,14.0,False,,,,,,,,,,,Babyteeth
Bacchus,"Campbell, Eddie",Top Shelf,51.0,False,,,,,,,,,,,Bacchus
Bad Dreams in the Night,,,,,,,,,,,,,,,Bad Dreams in the Night
Bakuman,"Ohba, Tsugumi",Manga,20.0,False,,,,,,,,,,,Bakuman
"Ballad of Halo Jones, The","Moore, Alan",Rebellion Developments,20.0,False,,,,,,,,,,,The Ballad of Halo Jones
Barrier,"Vaughan, Brian K.",Panel Syndicate,5.0,False,,,,,,,,,,,Barrier
Batgirl,"Miller, Bryan Q.",DC,24.0,False,,,,,,,,,,,Batgirl
Batgirl Adventures,"Dini, Paul",DC,2.0,False,,,,,,,,,,,Batgirl Adventures
Batgirl: Year One,"Beatty, Scott",DC,9.0,False,,,,,,,,,,,Batgirl: Year One
Batman,"King, Tom",DC,89.0,False,,,,,,,,,,,Batman
Batman,"Snyder, Scott",DC,52.0,False,,,,,,,,,,,Batman
Batman,"Morrison, Grant",DC,25.0,False,,,,,,,,,,,Batman
Batman / Catwoman Collected,,,,,,,,,,,,,,,Batman / Catwoman Collected
Batman / Santa Clause: Silent Knight,,,,,,,,,,,,,,,Batman / Santa Clause: Silent Knight
Batman & Robin: Year One,,,,,,,,,,,,,,,Batman & Robin: Year One
Batman & Robin/Batman Incorporated,"Morrison, Grant",DC,55.0,False,,,,,,,,,,,Batman & Robin/Batman Incorporated
Batman Adventures,"Puckett, Kelly",DC,37.0,False,,,,,,,,,,,Batman Adventures
Batman Adventures: Mad Love/Holiday Special,"Dini, Paul",DC,5.0,False,,,,,,,,,,,Batman Adventures: Mad Love/Holiday Special
Batman and Robin,"Tomasi, Peter J.",DC,62.0,False,,,,,,,,,,,Batman and Robin
Batman Detective Comics 3: Gotham Nocturne Act II,,,,,,,,,,,,,,,Batman Detective Comics 3: Gotham Nocturne Act II
Batman Universe,"Bendis, Brian",DC,6.0,False,,,,,,,,,,,Batman Universe
Batman Vol 4: Dark Prisons,,,,,,,,,,,,,,,Batman Vol 4: Dark Prisons
Batman: Dark Age Collected,,,,,,,,,,,,,,,Batman: Dark Age Collected
Batman: Dark Knight Dark City,"Milligan, Peter",DC,10.0,False,,,,,,,,,,,Batman: Dark Knight Dark City
