Title,System,Year,Played,Rating,Random Game,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
ActRaiser,SNES,1990,FALSE,8,,,,,,,,,,,,,ActRaiser
Actual Sunlight,,2014,,7.5,,,,,,,,,,,,,Actual Sunlight
Adios,PC,,FALSE,78,,,,,,,,,,,,,Adios
Advance Wars,GBA,,FALSE,92,,,,,,,,,,,,,Advance Wars
Advance Wars 1 + 2: Re-Boot Camp,SWITCH,,FALSE,82,,,,,,,,,,,,,Advance Wars 1 + 2: Re-Boot Camp
Advance Wars 2: Black Hole Rising,GBA,,FALSE,89,,,,,,,,,,,,,Advance Wars 2: Black Hole Rising
Advance Wars: Days of Ruin,DS,,FALSE,86,,,,,,,,,,,,,Advance Wars: Days of Ruin
Advance Wars: Dual Strike,DS,,FALSE,90,,,,,,,,,,,,,Advance Wars: Dual Strike
"Adventure Pals, The",XBO,,FALSE,80,,,,,,,,,,,,,The Adventure Pals
Adventure Time: Game Wizard,,2015,,7.5,,,,,,,,,,,,,Adventure Time: Game Wizard
"Adventures of Cookie & Cream, The",PS2,,FALSE,78,,,,,,,,,,,,,The Adventures of Cookie & Cream
Adventures of Pip,Wii U,,FALSE,78,,,,,,,,,,,,,Adventures of Pip
Aegis Defenders,,2018,,7.6,,,,,,,,,,,,,Aegis Defenders
Aevum Obscurum,,2000,,7.7,,,,,,,,,,,,,Aevum Obscurum
Affordable Space Adventures,Wii U,,FALSE,81,,,,,,,,,,,,,Affordable Space Adventures
After Burner: Climax,,2006,,7.6,,,,,,,,,,,,,After Burner: Climax
After Dark Games,,1998,,7.6,,,,,,,,,,,,,After Dark Games
Afterimage,PC,,FALSE,79,,,,,,,,,,,,,Afterimage
Afterparty,,2019,,7.5,,,,,,,,,,,,,Afterparty
AG Drive,,2015,,7.7,,,,,,,,,,,,,AG Drive
Against the Storm,PC,,FALSE,92,,,,,,,,,,,,,Against the Storm
Agatha Christie: Murder on the Orient Express,,2023,,7.5,,,,,,,,,,,,,Agatha Christie: Murder on the Orient Express
Age of Conan: Hyborian Adventures,PC,,FALSE,80,,,,,,,,,,,,,Age of Conan: Hyborian Adventures
Age of Conan: Rise of the Godslayer,PC,,FALSE,83,,,,,,,,,,,,,Age of Conan: Rise of the Godslayer
"Age of Decadence, The",PC,,FALSE,81,,,,,,,,,,,,,The Age of Decadence
Age of Empires,PC,,TRUE,83,,,,,,,,,,,,,Age of Empires
Age of Empires II: The Age of Kings,PC,,FALSE,92,,,,,,,,,,,,,Age of Empires II: The Age of Kings
Age of Empires III,PC,,FALSE,81,,,,,,,,,,,,,Age of Empires III
Age of Empires III: Definitive Edition,,2020,TRUE,7.6,,,,,,,,,,,,,Age of Empires III: Definitive Edition
Age of Empires III: The Asian Dynasties,PC,,FALSE,81,,,,,,,,,,,,,Age of Empires III: The Asian Dynasties
Age of Empires III: The Warchiefs,PC,,FALSE,80,,,,,,,,,,,,,Age of Empires III: The Warchiefs
Age of Empires IV,PC,,FALSE,81,,,,,,,,,,,,,Age of Empires IV
Age of Mythology,PC,,FALSE,89,,,,,,,,,,,,,Age of Mythology
Age of Mythology: Retold,,2024,,8.2,,,,,,,,,,,,,
Age of Mythology: The Titans,PC,,FALSE,84,,,,,,,,,,,,,Age of Mythology: The Titans
Age of Wonders,,1999,,7.7,,,,,,,,,,,,,Age of Wonders
Age of Wonders 4,PC,,FALSE,82,,,,,,,,,,,,,Age of Wonders 4
Age of Wonders II: The Wizard's Throne,PC,,FALSE,86,,,,,,,,,,,,,Age of Wonders II: The Wizard's Throne
Age of Wonders III,PC,,FALSE,80,,,,,,,,,,,,,Age of Wonders III
Age of Wonders III - Eternal Lords,PC,,FALSE,80,,,,,,,,,,,,,Age of Wonders III - Eternal Lords
Age of Wonders III - Golden Realms,PC,,FALSE,82,,,,,,,,,,,,,Age of Wonders III - Golden Realms
Age of Wonders: Planetfall,XBO,,FALSE,85,,,,,,,,,,,,,Age of Wonders: Planetfall
Age of Wonders: Shadow Magic,PC,,FALSE,82,,,,,,,,,,,,,Age of Wonders: Shadow Magic
Age of Zombies,PSP,,FALSE,79,,,,,,,,,,,,,Age of Zombies
Agent A: A Puzzle in Disguise,SWITCH,,FALSE,79,,,,,,,,,,,,,Agent A: A Puzzle in Disguise
Aggressive Inline,PS2,,FALSE,85,,,,,,,,,,,,,Aggressive Inline
Aggressors: Ancient Rome,,2018,,7.6,,,,,,,,,,,,,Aggressors: Ancient Rome
Ahriman's Prophecy,,2004,,7.7,,,,,,,,,,,,,Ahriman's Prophecy
AI War: Fleet Command,PC,,FALSE,80,,,,,,,,,,,,,AI War: Fleet Command
AI: The Somnium Files,SWITCH,,FALSE,86,,,,,,,,,,,,,AI: The Somnium Files
AI: The Somnium Files - nirvanA Initiative,PC,,FALSE,88,,,,,,,,,,,,,AI: The Somnium Files - nirvanA Initiative
Aion,,2009,,7.7,,,,,,,,,,,,,Aion
Air (NSFW),,2001,,7.6,,,,,,,,,,,,,Air (NSFW)
Air Penguin,,2011,,7.6,,,,,,,,,,,,,Air Penguin
Air Warrior II,,1997,,7.5,,,,,,,,,,,,,Air Warrior II
Airborne Assault: Highway to the Reich,PC,,FALSE,81,,,,,,,,,,,,,Airborne Assault: Highway to the Reich
Airborne Assault: Red Devils over Arnhem,PC,,FALSE,82,,,,,,,,,,,,,Airborne Assault: Red Devils over Arnhem
Airport Mania: First Flight,,2008,,7.7,,,,,,,,,,,,,Airport Mania: First Flight
Akuji the Demon,,2002,,7.5,,,,,,,,,,,,,Akuji the Demon
Alan Wake,X360,,TRUE,83,,,,,,,,,,,,,Alan Wake
Alan Wake II,XBSX,,TRUE,93,,,,,,,,,,,,,Alan Wake II
Alan Wake Remastered,XBSX,,TRUE,80,,,,,,,,,,,,,Alan Wake Remastered
Alan Wake: The Writer,X360,,FALSE,80,,,,,,,,,,,,,Alan Wake: The Writer
Alba: A Wildlife Adventure,SWITCH,,FALSE,80,,,,,,,,,,,,,Alba: A Wildlife Adventure
Albert Odyssey: Legend of Eldean,,1996,,7.5,,,,,,,,,,,,,Albert Odyssey: Legend of Eldean
Albion,,1995,,7.7,,,,,,,,,,,,,Albion
Alex the Allegator 4,,2003,,7.7,,,,,,,,,,,,,Alex the Allegator 4
Alien Breed 3D,,1995,,7.6,,,,,,,,,,,,,Alien Breed 3D
Alien Breed 3D 2: The Killing Grounds,,1996,,7.7,,,,,,,,,,,,,Alien Breed 3D 2: The Killing Grounds
Alien Hominid,PS2,,FALSE,78,,,,,,,,,,,,,Alien Hominid
Alien Hominid HD,X360,,FALSE,79,,,,,,,,,,,,,Alien Hominid HD
Alien Soldier,GENESIS,1995,,8.4,,,,,,,,,,,,,Alien Soldier
Alien Trilogy,SATURN,1996,,7.8,,,,,,,,,,,,,Alien Trilogy
Alien: Isolation,SWITCH,,TRUE,83,,,,,,,,,,,,,Alien: Isolation
Alienation,PS4,,FALSE,79,,,,,,,,,,,,,Alienation
Aliens Go Home Run!,,2017,,7.7,,,,,,,,,,,,,Aliens Go Home Run!
Aliens Online,,1998,,7.6,,,,,,,,,,,,,Aliens Online
Aliens Versus Predator 2,PC,,FALSE,85,,,,,,,,,,,,,Aliens Versus Predator 2
Aliens Versus Predator: Gold Edition,,2000,,7.6,,,,,,,,,,,,,Aliens Versus Predator: Gold Edition
Aliens: Dark Descent,XBSX,,FALSE,80,,,,,,,,,,,,,Aliens: Dark Descent
Aliens: Infestation,,2011,FALSE,7.5,,,,,,,,,,,,,Aliens: Infestation
Alisa,,2021,,7.6,,,,,,,,,,,,,Alisa
Alisia Dragoon,GENESIS,1992,,7.9,,,,,,,,,,,,,Alisia Dragoon
Alive 4-ever Returns,,2010,,7.6,,,,,,,,,,,,,Alive 4-ever Returns
Allegiance,PC,,FALSE,86,,,,,,,,,,,,,Allegiance
"Alliance Alive, The",,2017,,7.5,,,,,,,,,,,,,The Alliance Alive
Allied General,,1995,,7.6,,,,,,,,,,,,,Allied General
Allods Online,,2009,,7.6,,,,,,,,,,,,,Allods Online
Alone in the Dark: The Trilogy 1+2+3,,1995,,7.6,,,,,,,,,,,,,Alone in the Dark: The Trilogy 1+2+3
AlphaBounce,DS,,FALSE,78,,,,,,,,,,,,,AlphaBounce
ALTDEUS: Beyond Chronos,PC,,FALSE,78,,,,,,,,,,,,,ALTDEUS: Beyond Chronos
Altitude,,2009,,7.6,,,,,,,,,,,,,Altitude
Alto's Adventure,,2015,,7.7,,,,,,,,,,,,,Alto's Adventure
Alundra,PlayStation,,FALSE,86,,,,,,,,,,,,,Alundra
Alwa's Legacy,SWITCH,,FALSE,80,,,,,,,,,,,,,Alwa's Legacy
Amanda the Adventurer,,2023,,7.6,,,,,,,,,,,,,Amanda the Adventurer
