Title,System,Year,Played,Rating,Random Game,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Def Jam: Fight for NY,PS2,,FALSE,83,,,,,,,,,,,,,Def Jam: Fight for NY
Def Jam: Fight for NY - The Takeover,,2006,,7.7,,,,,,,,,,,,,Def Jam: Fight for NY - The Takeover
DEFCON: Everybody Dies,PC,,FALSE,84,,,,,,,,,,,,,DEFCON: Everybody Dies
Defense Grid: The Awakening,X360,,FALSE,82,,,,,,,,,,,,,Defense Grid: The Awakening
Demeo,PC,,FALSE,83,,,,,,,,,,,,,Demeo
Demon's Crest,SNES,1994,FALSE,8.1,,,,,,,,,,,,,Demon's Crest
Demon's Mirror,,2024,,7.5,,,,,,,,,,,,,
Demon's Souls,PS3,,FALSE,89,,,,,,,,,,,,,Demon's Souls
Denki Blocks!,,2001,,7.6,,,,,,,,,,,,,Denki Blocks!
"Denpa Men: They Came By Wave, The",3DS,,FALSE,78,,,,,,,,,,,,,The Denpa Men: They Came By Wave
Depixtion,SWITCH,,FALSE,78,,,,,,,,,,,,,Depixtion
Depths of Peril,,2007,,7.7,,,,,,,,,,,,,Depths of Peril
Der Fluch der Osterinsel,,2010,,7.5,,,,,,,,,,,,,Der Fluch der Osterinsel
Deru - The Art of Cooperation,SWITCH,,FALSE,79,,,,,,,,,,,,,Deru - The Art of Cooperation
Descenders,PC,,FALSE,78,,,,,,,,,,,,,Descenders
Descent 3,PC,,FALSE,89,,,,,,,,,,,,,Descent 3
Desert Rats vs. Afrika Korps,,2004,,7.5,,,,,,,,,,,,,Desert Rats vs. Afrika Korps
Desert Strike: Return to the Gulf,GENESIS,1992,,8.1,,,,,,,,,,,,,Desert Strike: Return to the Gulf
Desktop Dungeons,PC,,FALSE,82,,,,,,,,,,,,,Desktop Dungeons
Desktop Dungeons: Rewind,PC,,FALSE,81,,,,,,,,,,,,,Desktop Dungeons: Rewind
Desperados III,PC,,FALSE,86,,,,,,,,,,,,,Desperados III
Desperados: Wanted Dead or Alive,PC,,FALSE,78,,,,,,,,,,,,,Desperados: Wanted Dead or Alive
Destiny 2,XBO,,FALSE,87,,,,,,,,,,,,,Destiny 2
Destiny 2: Forsaken,XBO,,FALSE,86,,,,,,,,,,,,,Destiny 2: Forsaken
Destiny 2: Shadowkeep,PC,,FALSE,78,,,,,,,,,,,,,Destiny 2: Shadowkeep
Destiny 2: The Witch Queen,PS5,,FALSE,87,,,,,,,,,,,,,Destiny 2: The Witch Queen
Destiny: The Taken King,XBO,,FALSE,89,,,,,,,,,,,,,Destiny: The Taken King
Detention,PC,,FALSE,83,,,,,,,,,,,,,Detention
Detroit: Become Human,PC,,FALSE,80,,,,,,,,,,,,,Detroit: Become Human
Deus Ex,PC,,FALSE,90,,,,,,,,,,,,,Deus Ex
Deus Ex GO,,2016,,7.7,,,,,,,,,,,,,Deus Ex GO
Deus Ex: Human Revolution,PC,,FALSE,90,,,,,,,,,,,,,Deus Ex: Human Revolution
Deus Ex: Human Revolution - Director's Cut,Wii U,,FALSE,88,,,,,,,,,,,,,Deus Ex: Human Revolution - Director's Cut
Deus Ex: Human Revolution - The Missing Link,PS3,,FALSE,78,,,,,,,,,,,,,Deus Ex: Human Revolution - The Missing Link
Deus Ex: Invisible War,PC,,FALSE,80,,,,,,,,,,,,,Deus Ex: Invisible War
Deus Ex: Mankind Divided,PS4,,FALSE,84,,,,,,,,,,,,,Deus Ex: Mankind Divided
Deus Ex: Mankind Divided - A Criminal Past,PS4,,FALSE,81,,,,,,,,,,,,,Deus Ex: Mankind Divided - A Criminal Past
Deus Ex: The Conspiracy,PS2,,FALSE,81,,,,,,,,,,,,,Deus Ex: The Conspiracy
Devil Daggers,PC,,FALSE,83,,,,,,,,,,,,,Devil Daggers
Devil Engine,,2019,,7.6,,,,,,,,,,,,,Devil Engine
Devil May Cry,PS2,,FALSE,94,,,,,,,,,,,,,Devil May Cry
Devil May Cry 3: Dante's Awakening,PS2,,FALSE,84,,,,,,,,,,,,,Devil May Cry 3: Dante's Awakening
Devil May Cry 3: Special Edition,PS2,,FALSE,87,,,,,,,,,,,,,Devil May Cry 3: Special Edition
Devil May Cry 4,PS3,,FALSE,84,,,,,,,,,,,,,Devil May Cry 4
Devil May Cry 4: Special Edition,,2015,,7.6,,,,,,,,,,,,,Devil May Cry 4: Special Edition
Devil May Cry 5,PC,,FALSE,89,,,,,,,,,,,,,Devil May Cry 5
Devil May Cry 5: Special Edition,PS5,,FALSE,89,,,,,,,,,,,,,Devil May Cry 5: Special Edition
Devil May Cry: HD Collection,,2012,,7.5,,,,,,,,,,,,,Devil May Cry: HD Collection
Devil's Crush,GENESIS,1991,,8.3,,,,,,,,,,,,,Devil's Crush
Devotion,PC,,FALSE,86,,,,,,,,,,,,,Devotion
Dex,,2015,,7.6,,,,,,,,,,,,,Dex
Dexter Stardust: Adventures in Outer Space,,2022,,7.5,,,,,,,,,,,,,Dexter Stardust: Adventures in Outer Space
DG2: Defense Grid 2,PC,,FALSE,81,,,,,,,,,,,,,DG2: Defense Grid 2
Diablo,PC,,FALSE,94,,,,,,,,,,,,,Diablo
Diablo 4,,,,,,,,,,,,,,,,,Diablo 4
Diablo II,PC,,FALSE,88,,,,,,,,,,,,,Diablo II
Diablo II: Lord of Destruction,PC,,FALSE,87,,,,,,,,,,,,,Diablo II: Lord of Destruction
Diablo II: Resurrected,PS5,,FALSE,81,,,,,,,,,,,,,Diablo II: Resurrected
Diablo III,PC,,FALSE,88,,,,,,,,,,,,,Diablo III
Diablo III: Eternal Collection,SWITCH,,FALSE,88,,,,,,,,,,,,,Diablo III: Eternal Collection
Diablo III: Reaper of Souls,PC,,FALSE,87,,,,,,,,,,,,,Diablo III: Reaper of Souls
Diablo III: Ultimate Evil Edition,PS4,,FALSE,90,,,,,,,,,,,,,Diablo III: Ultimate Evil Edition
Diablo IV,XBSX,,FALSE,91,,,,,,,,,,,,,Diablo IV
Diamond Rush,,2006,,7.6,,,,,,,,,,,,,Diamond Rush
Diamonds in the Rough,,2008,,7.7,,,,,,,,,,,,,Diamonds in the Rough
Dicey Dungeons,PC,,FALSE,80,,,,,,,,,,,,,Dicey Dungeons
Die by the Sword,,1998,,7.5,,,,,,,,,,,,,Die by the Sword
Die Hard Arcade,,1996,,7.5,,,,,,,,,,,,,Die Hard Arcade
Dimension Tripper Neptune: Top Nep,,2022,,7.5,,,,,,,,,,,,,Dimension Tripper Neptune: Top Nep
Diner Dash 2: Restaurant Rescue,,2006,,7.5,,,,,,,,,,,,,Diner Dash 2: Restaurant Rescue
Dino Crisis,,1999,,7.6,,,,,,,,,,,,,Dino Crisis
Dino Crisis 2,PlayStation,,FALSE,86,,,,,,,,,,,,,Dino Crisis 2
"DioField Chronicle, The",XBSX,,FALSE,78,,,,,,,,,,,,,The DioField Chronicle
DiRT,PC,,FALSE,84,,,,,,,,,,,,,DiRT
DiRT 2,PC,,FALSE,89,,,,,,,,,,,,,DiRT 2
DiRT 3,X360,,FALSE,87,,,,,,,,,,,,,DiRT 3
DiRT 4,XBO,,FALSE,86,,,,,,,,,,,,,DiRT 4
DIRT 5,XBO,,FALSE,83,,,,,,,,,,,,,DIRT 5
DiRT Rally,PC,,FALSE,86,,,,,,,,,,,,,DiRT Rally
DiRT Rally 2.0,PS4,,FALSE,84,,,,,,,,,,,,,DiRT Rally 2.0
Disc Room,PC,,FALSE,83,,,,,,,,,,,,,Disc Room
Disciples II: Dark Prophecy,PC,,FALSE,84,,,,,,,,,,,,,Disciples II: Dark Prophecy
Disciples II: Rise of the Elves,PC,,FALSE,80,,,,,,,,,,,,,Disciples II: Rise of the Elves
Disco Elysium,PC,,FALSE,91,,,,,,,,,,,,,Disco Elysium
Disco Elysium: The Final Cut,PC,,FALSE,97,,,,,,,,,,,,,Disco Elysium: The Final Cut
Disgaea 1 Complete,PS4,,FALSE,83,,,,,,,,,,,,,Disgaea 1 Complete
Disgaea 1: Complete,,2018,,7.7,,,,,,,,,,,,,Disgaea 1: Complete
Disgaea 2: Cursed Memories,PS2,,FALSE,84,,,,,,,,,,,,,Disgaea 2: Cursed Memories
Disgaea 3: Absence of Detention,,2011,,7.5,,,,,,,,,,,,,Disgaea 3: Absence of Detention
Disgaea 3: Absence of Justice,PS3,,FALSE,78,,,,,,,,,,,,,Disgaea 3: Absence of Justice
Disgaea 4 Complete+,SWITCH,,FALSE,85,,,,,,,,,,,,,Disgaea 4 Complete+
Disgaea 4: A Promise Revisited,PS Vita,,FALSE,82,,,,,,,,,,,,,Disgaea 4: A Promise Revisited
Disgaea 4: A Promise Unforgotten,,2011,,7.6,,,,,,,,,,,,,Disgaea 4: A Promise Unforgotten
Disgaea 5 Complete,SWITCH,,FALSE,81,,,,,,,,,,,,,Disgaea 5 Complete
Disgaea 5: Alliance of Vengeance,,2015,,7.6,,,,,,,,,,,,,Disgaea 5: Alliance of Vengeance
Disgaea 7: Vows of the Virtueless,PS5,,FALSE,84,,,,,,,,,,,,,Disgaea 7: Vows of the Virtueless
Disgaea DS,DS,,FALSE,82,,,,,,,,,,,,,Disgaea DS
Disgaea: Afternoon of Darkness,PSP,,FALSE,87,,,,,,,,,,,,,Disgaea: Afternoon of Darkness
Disgaea: Hour of Darkness,PS2,,FALSE,84,,,,,,,,,,,,,Disgaea: Hour of Darkness
Dishonored,PC,,FALSE,91,,,,,,,,,,,,,Dishonored
Dishonored 2,PS4,,FALSE,88,,,,,,,,,,,,,Dishonored 2
Dishonored: Death of the Outsider,XBO,,FALSE,84,,,,,,,,,,,,,Dishonored: Death of the Outsider
Dishonored: Definitive Edition,PS4,,FALSE,80,,,,,,,,,,,,,Dishonored: Definitive Edition
Dishonored: The Brigmore Witches,X360,,FALSE,81,,,,,,,,,,,,,Dishonored: The Brigmore Witches
Dishonored: The Knife of Dunwall,PC,,FALSE,80,,,,,,,,,,,,,Dishonored: The Knife of Dunwall
"Dishwasher: Vampire Smile, The",X360,,FALSE,81,,,,,,,,,,,,,The Dishwasher: Vampire Smile
"Disney Afternoon Collection, The",PC,,FALSE,78,,,,,,,,,,,,,The Disney Afternoon Collection
Disney Alice in Wonderland,DS,,FALSE,78,,,,,,,,,,,,,Disney Alice in Wonderland
Disney DuckTales: Remastered,,2013,,7.6,,,,,,,,,,,,,Disney DuckTales: Remastered
Disney Epic Mickey: Rebrushed,,2024,,7.6,,,,,,,,,,,,,
Disney Guilty Party,Wii,,FALSE,78,,,,,,,,,,,,,Disney Guilty Party
Disney Illusion Island,,2023,,7.7,,,,,,,,,,,,,Disney Illusion Island
Disney Infinity 3.0 Edition,PS4,,FALSE,80,,,,,,,,,,,,,Disney Infinity 3.0 Edition
Disney's Aladdin,GENESIS,1993,,8.4,,,,,,,,,,,,,Disney's Aladdin
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,,7.8,,,,,,,,,,,,,Disney's Chip 'n Dale: Rescue Rangers
Disney's Chip 'N Dale: Rescue Rangers 2,NES,1993,,7.9,,,,,,,,,,,,,Disney's Chip 'N Dale: Rescue Rangers 2
Disney's Donald Duck: Goin' Quackers,,2000,,7.6,,,,,,,,,,,,,Disney's Donald Duck: Goin' Quackers
Disney's DuckTales,NES,1989,,8,,,,,,,,,,,,,Disney's DuckTales
Disney's DuckTales 2,NES,1993,,8.2,,,,,,,,,,,,,Disney's DuckTales 2
Disney's Extreme Skate Adventure,PS2,,FALSE,78,,,,,,,,,,,,,Disney's Extreme Skate Adventure
Disney's The Jungle Book,GENESIS,1994,,8.1,,,,,,,,,,,,,Disney's The Jungle Book
Disney's Toy Story,GENESIS,1995,,7.8,,,,,,,,,,,,,Disney's Toy Story
Disney/Pixar Toy Story 3,PS3,,FALSE,78,,,,,,,,,,,,,Disney/Pixar Toy Story 3
Disney•Pixar Toy Story 3,,2010,,7.6,,,,,,,,,,,,,Disney•Pixar Toy Story 3
Disruptor,,1996,,7.6,,,,,,,,,,,,,Disruptor
Dissidia 012 [duodecim] Final Fantasy,,2011,,7.7,,,,,,,,,,,,,Dissidia 012 [duodecim] Final Fantasy
Dissidia 012: Duodecim Final Fantasy,PSP,,FALSE,78,,,,,,,,,,,,,Dissidia 012: Duodecim Final Fantasy
Dissidia: Final Fantasy,PSP,,FALSE,79,,,,,,,,,,,,,Dissidia: Final Fantasy
Divine Divinity,PC,,FALSE,81,,,,,,,,,,,,,Divine Divinity
Divinity II: The Dragon Knight Saga,PC,,FALSE,82,,,,,,,,,,,,,Divinity II: The Dragon Knight Saga
Divinity: Dragon Commander,,2013,,7.6,,,,,,,,,,,,,Divinity: Dragon Commander
Divinity: Original Sin,PC,,FALSE,87,,,,,,,,,,,,,Divinity: Original Sin
Divinity: Original Sin - Enhanced Edition,,2015,,7.6,,,,,,,,,,,,,Divinity: Original Sin - Enhanced Edition
Divinity: Original Sin Enhanced Edition,PS4,,FALSE,88,,,,,,,,,,,,,Divinity: Original Sin Enhanced Edition
Divinity: Original Sin II,PC,,FALSE,93,,,,,,,,,,,,,Divinity: Original Sin II
Divinity: Original Sin II - Definitive Edition,SWITCH,,FALSE,93,,,,,,,,,,,,,Divinity: Original Sin II - Definitive Edition
Divinity:Original Sin 2,,,,,,,,,,,,,,,,,Divinity:Original Sin 2
DJ Hero,PS3,,FALSE,86,,,,,,,,,,,,,DJ Hero
DJ Hero 2,X360,,FALSE,86,,,,,,,,,,,,,DJ Hero 2
DJMax Respect,PS4,,FALSE,85,,,,,,,,,,,,,DJMax Respect
DJMax Technika Tune,,2012,,7.7,,,,,,,,,,,,,DJMax Technika Tune
DmC: Devil May Cry,X360,,FALSE,86,,,,,,,,,,,,,DmC: Devil May Cry
DmC: Devil May Cry Definitive Edition,XBO,,FALSE,86,,,,,,,,,,,,,DmC: Devil May Cry Definitive Edition
DNF Duel,PS5,,FALSE,80,,,,,,,,,,,,,DNF Duel
Do Re Mi Fantasy: Milon no DokiDoki Daibōken,SNES,1996,FALSE,8,,,,,,,,,,,,,Do Re Mi Fantasy: Milon no DokiDoki Daibōken
DOA2: Hardcore,PS2,,FALSE,91,,,,,,,,,,,,,DOA2: Hardcore
Doctor Who: The Lonely Assassins,,2021,,7.6,,,,,,,,,,,,,Doctor Who: The Lonely Assassins
"Document of Metal Gear Solid 2, The",,2002,,7.6,,,,,,,,,,,,,The Document of Metal Gear Solid 2
Dogma,,2003,,7.7,,,,,,,,,,,,,Dogma
Doki Doki Literature Club Plus!,SWITCH,,FALSE,85,,,,,,,,,,,,,Doki Doki Literature Club Plus!
Doki Doki Literature Club!,PC,,FALSE,78,,,,,,,,,,,,,Doki Doki Literature Club!
Dome Keeper,,2022,,7.6,,,,,,,,,,,,,Dome Keeper
Dominions 3: The Awakening,PC,,FALSE,82,,,,,,,,,,,,,Dominions 3: The Awakening
Don't Starve,PC,,FALSE,79,,,,,,,,,,,,,Don't Starve
Don't Starve + Reign of Giants,,2014,,7.6,,,,,,,,,,,,,Don't Starve + Reign of Giants
Don't Starve Together,,2014,,7.7,,,,,,,,,,,,,Don't Starve Together
Donkey Kong 64,N64,,FALSE,90,,,,,,,,,,,,,Donkey Kong 64
Donkey Kong Country,SNES,1994,FALSE,8.5,,,,,,,,,,,,,Donkey Kong Country
Donkey Kong Country 2,GBA,,FALSE,80,,,,,,,,,,,,,Donkey Kong Country 2
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,FALSE,8.5,,,,,,,,,,,,,Donkey Kong Country 2: Diddy's Kong Quest
Donkey Kong Country 3: Dixie Kong's Double Trouble...,SNES,1996,FALSE,8.1,,,,,,,,,,,,,Donkey Kong Country 3: Dixie Kong's Double Trouble...
Donkey Kong Country Returns,Wii,,FALSE,87,,,,,,,,,,,,,Donkey Kong Country Returns
Donkey Kong Country Returns 3D,3DS,,FALSE,83,,,,,,,,,,,,,Donkey Kong Country Returns 3D
Donkey Kong Country: Tropical Freeze,SWITCH,,FALSE,86,,,,,,,,,,,,,Donkey Kong Country: Tropical Freeze
Donkey Kong Jungle Beat,GAMECUBE,,FALSE,80,,,,,,,,,,,,,Donkey Kong Jungle Beat
Donkey Kong Land,,1995,,7.6,,,,,,,,,,,,,Donkey Kong Land
Donkey Kong: Jungle Beat,,2004,,7.6,,,,,,,,,,,,,Donkey Kong: Jungle Beat
Donut County,,2018,,7.6,,,,,,,,,,,,,Donut County
Donut Dodo,,2022,,7.6,,,,,,,,,,,,,Donut Dodo
Doodle Jump,,2009,,7.5,,,,,,,,,,,,,Doodle Jump
DOOM,X360,,FALSE,82,,,,,,,,,,,,,DOOM
DOOM 3,PC,,FALSE,87,,,,,,,,,,,,,DOOM 3
DOOM 3: Resurrection of Evil,PC,,FALSE,78,,,,,,,,,,,,,DOOM 3: Resurrection of Evil
DOOM Eternal,PC,,FALSE,88,,,,,,,,,,,,,DOOM Eternal
Doom Eternal: The Ancient Gods - Part One,,2020,,7.7,,,,,,,,,,,,,Doom Eternal: The Ancient Gods - Part One
Doom Eternal: The Ancient Gods - Part Two,,2021,,7.7,,,,,,,,,,,,,Doom Eternal: The Ancient Gods - Part Two
Doom Resurrection,,2009,,7.6,,,,,,,,,,,,,Doom Resurrection
DOOMBLADE,PC,,FALSE,83,,,,,,,,,,,,,DOOMBLADE
Door Kickers,PC,,FALSE,83,,,,,,,,,,,,,Door Kickers
Door Kickers: Action Squad,,2018,,7.5,,,,,,,,,,,,,Door Kickers: Action Squad
Dope Wars,,1998,,7.5,,,,,,,,,,,,,Dope Wars
Dordogne,PS5,,FALSE,79,,,,,,,,,,,,,Dordogne
Dorfromantik,SWITCH,,FALSE,82,,,,,,,,,,,,,Dorfromantik
Dota 2,PC,,FALSE,90,,,,,,,,,,,,,Dota 2
Dota: Underlords,,2019,,7.5,,,,,,,,,,,,,Dota: Underlords
Dots: A Game About Connecting,,2013,,7.5,,,,,,,,,,,,,Dots: A Game About Connecting
Dotstream,,2006,,7.7,,,,,,,,,,,,,Dotstream
Double Dragon & Kunio-kun Retro Brawler Bundle,SWITCH,,FALSE,78,,,,,,,,,,,,,Double Dragon & Kunio-kun Retro Brawler Bundle
Double Dragon Gaiden: Rise of the Dragons,PC,,FALSE,78,,,,,,,,,,,,,Double Dragon Gaiden: Rise of the Dragons
Double Dragon II: The Revenge,NES,1989,,8.1,,,,,,,,,,,,,Double Dragon II: The Revenge
Double Fine Happy Action Theater,X360,,FALSE,80,,,,,,,,,,,,,Double Fine Happy Action Theater
Downfall,,2009,,7.6,,,,,,,,,,,,,Downfall
Downhill Domination,PS2,,FALSE,79,,,,,,,,,,,,,Downhill Domination
Downwell,SWITCH,,FALSE,88,,,,,,,,,,,,,Downwell
Dr. Mario & Puzzle League,,2005,,7.7,,,,,,,,,,,,,Dr. Mario & Puzzle League
Dr. Mario: Miracle Cure,,2015,,7.6,,,,,,,,,,,,,Dr. Mario: Miracle Cure
Dr. Robotnik's Mean Bean Machine,GENESIS,1993,,7.8,,,,,,,,,,,,,Dr. Robotnik's Mean Bean Machine
Dragon Age II,PC,,FALSE,82,,,,,,,,,,,,,Dragon Age II
Dragon Age: Inquisition,PS4,,FALSE,89,,,,,,,,,,,,,Dragon Age: Inquisition
Dragon Age: Origins,PC,,FALSE,91,,,,,,,,,,,,,Dragon Age: Origins
Dragon Age: Origins - Awakening,PC,,FALSE,82,,,,,,,,,,,,,Dragon Age: Origins - Awakening
Dragon Age: The Veilguard,,2024,,7.8,,,,,,,,,,,,,
Dragon Ball FighterZ,PS4,,FALSE,87,,,,,,,,,,,,,Dragon Ball FighterZ
Dragon Ball Z: Budokai 3,,2004,,7.6,,,,,,,,,,,,,Dragon Ball Z: Budokai 3
Dragon Ball Z: Budokai Tenkaichi,,2005,,7.6,,,,,,,,,,,,,Dragon Ball Z: Budokai Tenkaichi
Dragon Ball Z: Budokai Tenkaichi 3,,2007,,7.6,,,,,,,,,,,,,Dragon Ball Z: Budokai Tenkaichi 3
Dragon Ball Z: Hyper Dimension,,1996,,7.6,,,,,,,,,,,,,Dragon Ball Z: Hyper Dimension
Dragon Ball Z: Kakarot + A New Power Awakens Set,SWITCH,,FALSE,78,,,,,,,,,,,,,Dragon Ball Z: Kakarot + A New Power Awakens Set
Dragon Ball Z: Super Butōden 2,SNES,1993,FALSE,7.9,,,,,,,,,,,,,Dragon Ball Z: Super Butōden 2
Dragon Ball: Origins,DS,,FALSE,78,,,,,,,,,,,,,Dragon Ball: Origins
Dragon Ball: Sparking! Zero,,2024,,8.3,,,,,,,,,,,,,
Dragon Ball: Xenoverse 2,,2016,,7.5,,,,,,,,,,,,,Dragon Ball: Xenoverse 2
Dragon Force,SATURN,1996,,8.3,,,,,,,,,,,,,Dragon Force
Dragon Quest Builders,PS4,,FALSE,83,,,,,,,,,,,,,Dragon Quest Builders
Dragon Quest Builders 2,PS4,,FALSE,86,,,,,,,,,,,,,Dragon Quest Builders 2
Dragon Quest Heroes II,,2016,,7.5,,,,,,,,,,,,,Dragon Quest Heroes II
Dragon Quest Heroes: Rocket Slime,DS,,FALSE,83,,,,,,,,,,,,,Dragon Quest Heroes: Rocket Slime
Dragon Quest III: HD-2D Remake,,2024,,8.3,,,,,,,,,,,,,
Dragon Quest IV: Chapters of the Chosen,DS,,FALSE,80,,,,,,,,,,,,,Dragon Quest IV: Chapters of the Chosen
Dragon Quest IX: Sentinels of the Starry Skies,DS,,FALSE,87,,,,,,,,,,,,,Dragon Quest IX: Sentinels of the Starry Skies
Dragon Quest Treasures,,2022,,7.5,,,,,,,,,,,,,Dragon Quest Treasures
Dragon Quest V: Hand of the Heavenly Bride,DS,,FALSE,84,,,,,,,,,,,,,Dragon Quest V: Hand of the Heavenly Bride
Dragon Quest V: Tenkū no Hanayome,SNES,1992,FALSE,7.8,,,,,,,,,,,,,Dragon Quest V: Tenkū no Hanayome
Dragon Quest VI: Realms of Revelation,DS,,FALSE,78,,,,,,,,,,,,,Dragon Quest VI: Realms of Revelation
Dragon Quest VII: Fragments of the Forgotten Past,3DS,,FALSE,81,,,,,,,,,,,,,Dragon Quest VII: Fragments of the Forgotten Past
Dragon Quest VIII: Journey of the Cursed King,PS2,,FALSE,89,,,,,,,,,,,,,Dragon Quest VIII: Journey of the Cursed King
Dragon Quest Wars,DS,,FALSE,83,,,,,,,,,,,,,Dragon Quest Wars
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,XBO,,FALSE,92,,,,,,,,,,,,,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition
Dragon Quest XI: Echoes of an Elusive Age,PS4,,FALSE,86,,,,,,,,,,,,,Dragon Quest XI: Echoes of an Elusive Age
Dragon Warrior III,,1996,,7.5,,,,,,,,,,,,,Dragon Warrior III
Dragon Warrior Monsters 2: Cobi's Journey,,2001,,7.6,,,,,,,,,,,,,Dragon Warrior Monsters 2: Cobi's Journey
Dragon Warrior VII,PlayStation,,FALSE,78,,,,,,,,,,,,,Dragon Warrior VII
Dragon's Crown,PS3,,FALSE,82,,,,,,,,,,,,,Dragon's Crown
Dragon's Crown Pro,,2018,,7.7,,,,,,,,,,,,,Dragon's Crown Pro
Dragon's Dogma,PS3,,FALSE,78,,,,,,,,,,,,,Dragon's Dogma
Dragon's Dogma II,,2024,,8.4,,,,,,,,,,,,,
Dragon's Dogma: Dark Arisen,PC,,FALSE,81,,,,,,,,,,,,,Dragon's Dogma: Dark Arisen
Dragons Dogma 2,,,,,,,,,,,,,,,,,Dragons Dogma 2
Drakan: The Ancients' Gates,PS2,,FALSE,78,,,,,,,,,,,,,Drakan: The Ancients' Gates
Drawful 2,,2016,,7.6,,,,,,,,,,,,,Drawful 2
DRDR: Dead Rising Deluxe Remaster,,2024,,8.1,,,,,,,,,,,,,
Dread Mac Farlane,,2008,,7.7,,,,,,,,,,,,,Dread Mac Farlane
Dread Templar,,2021,,7.6,,,,,,,,,,,,,Dread Templar
Dreamfall: The Longest Journey,,2006,,7.7,,,,,,,,,,,,,Dreamfall: The Longest Journey
Dreams,PS4,,FALSE,89,,,,,,,,,,,,,Dreams
Dreams in the Witch House,,2023,,7.7,,,,,,,,,,,,,Dreams in the Witch House
Dreamscaper,SWITCH,,FALSE,82,,,,,,,,,,,,,Dreamscaper
DREDGE,XBSX,,FALSE,85,,,,,,,,,,,,,DREDGE
Drift City,,2007,,7.5,,,,,,,,,,,,,Drift City
Driftland: The Magic Revival,,2017,,7.5,,,,,,,,,,,,,Driftland: The Magic Revival
Drill Dozer,GBA,,FALSE,81,,,,,,,,,,,,,Drill Dozer
Driveclub Bikes,PS4,,FALSE,79,,,,,,,,,,,,,Driveclub Bikes
Driver,PlayStation,,FALSE,87,,,,,,,,,,,,,Driver
Driver: San Francisco,PC,,FALSE,80,,,,,,,,,,,,,Driver: San Francisco
DROD: Journey to Rooted Hold,,2005,,7.6,,,,,,,,,,,,,DROD: Journey to Rooted Hold
Droplitz,,2009,,7.6,,,,,,,,,,,,,Droplitz
Dropship: United Peace Force,PS2,,FALSE,78,,,,,,,,,,,,,Dropship: United Peace Force
Dropsy,PC,,FALSE,80,,,,,,,,,,,,,Dropsy
Druidstone: The Secret of the Menhir Forest,PC,,FALSE,79,,,,,,,,,,,,,Druidstone: The Secret of the Menhir Forest
Duck Detective: The Secret Salami,,2024,,7.9,,,,,,,,,,,,,
Duck Game,SWITCH,,FALSE,83,,,,,,,,,,,,,Duck Game
Duelyst,PC,,FALSE,82,,,,,,,,,,,,,Duelyst
Duke Nukem 3D,PC,,FALSE,89,,,,,,,,,,,,,Duke Nukem 3D
Duke Nukem 3D (NSFW),SATURN,1997,,7.8,,,,,,,,,,,,,Duke Nukem 3D (NSFW)
Duke Nukem 3D: 20th Anniversary World Tour (NSFW),,2016,,7.6,,,,,,,,,,,,,Duke Nukem 3D: 20th Anniversary World Tour (NSFW)
Duke Nukem 3D: Megaton Edition,,2013,,7.5,,,,,,,,,,,,,Duke Nukem 3D: Megaton Edition
Duke Nukem Advance,GBA,,FALSE,81,,,,,,,,,,,,,Duke Nukem Advance
Duke Nukem: Manhattan Project,PC,,FALSE,78,,,,,,,,,,,,,Duke Nukem: Manhattan Project
Duke Nukem: Zero Hour,,1999,,7.6,,,,,,,,,,,,,Duke Nukem: Zero Hour
Dune: Spice Wars,,2022,,7.5,,,,,,,,,,,,,Dune: Spice Wars
Dune: The Battle for Arrakis,GENESIS,1994,,8.1,,,,,,,,,,,,,Dune: The Battle for Arrakis
Dungelot: Shattered Lands,PC,,FALSE,78,,,,,,,,,,,,,Dungelot: Shattered Lands
Dungeon Defenders,PC,,FALSE,81,,,,,,,,,,,,,Dungeon Defenders
Dungeon Encounters,SWITCH,,FALSE,81,,,,,,,,,,,,,Dungeon Encounters
Dungeon Keeper: Gold Edition,,1997,,7.6,,,,,,,,,,,,,Dungeon Keeper: Gold Edition
Dungeon of the Endless,PC,,FALSE,79,,,,,,,,,,,,,Dungeon of the Endless
Dungeon Siege,PC,,FALSE,86,,,,,,,,,,,,,Dungeon Siege
Dungeon Siege II,PC,,FALSE,80,,,,,,,,,,,,,Dungeon Siege II
Dungeon Siege: Throne of Agony,,2006,,7.6,,,,,,,,,,,,,Dungeon Siege: Throne of Agony
Dungeons & Dragons: Chronicles of Mystara,PS3,,FALSE,83,,,,,,,,,,,,,Dungeons & Dragons: Chronicles of Mystara
Dungeons & Dragons: Dragonshard,PC,,FALSE,80,,,,,,,,,,,,,Dungeons & Dragons: Dragonshard
Dungeons III,,2017,,7.6,,,,,,,,,,,,,Dungeons III
Dungeons of Dreadrock,SWITCH,,FALSE,80,,,,,,,,,,,,,Dungeons of Dreadrock
Dungeons of Dredmor,PC,,FALSE,79,,,,,,,,,,,,,Dungeons of Dredmor
