"Berserk"
"JoJo no Kimyou na Bouken: Steel Ball Run"
"Vagabond"
"ONE PIECE"
"Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch"
"MONSTER"
"Vinland Saga"
"SLAM DUNK"
"Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari"
"Houseki no Kuni"
"Real"
"Haikyuu!!"
"Kingdom"
"Ashita no Joe"
"Hagane no Renkinjutsushi"
"Grand Blue"
"Yotsuba to!"
"Mikkakan no Koufuku"
"Vagabond: Saigo no Manga-ten"
"Nekomonogatari: Shiro"
"Oyasumi Punpun"
"NANA"
"Koimonogatari"
"Kizumonogatari"
"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 5-bu - Megami no Keshin"
"86: Eighty Six"
"20 Seiki Shounen"
"Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen"
"Mushoku Tensei: Isekai Ittara Honki Dasu"
"3-gatsu no Lion"
"HUNTER×HUNTER"
"Dungeon Meshi"
"Bakemonogatari"
"Kubishime Romanticist: Ningen Shikkaku - Zerozaki Hitoshiki"
"Kaoru Hana wa Rin to Saku"
"Re:Zero kara Hajimeru Isekai Seikatsu"
"Koe no Katachi"
"Kono Oto Tomare!"
"Umineko no Naku Koro ni Chiru Episode 7: Requiem of the Golden Witch"
"Kokou no Hito"
"Tian Guan Ci Fu"
"Hajime no Ippo"
"Akatsuki no Yona"
"Veil"
"Sousou no Frieren"
"Owarimonogatari"
"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 4-bu - Kizoku-in no Jishou Tosho Iin"
"Ookami to Koushinryou"
"Hitokui Magical: Satsuriku Kijutsu no Niounomiya Kyoudai"
"Yeokdaegeum Yeongji Seolgyesa"
"GTO"
"ARIA"
"Chihayafuru"
"Dorohedoro"
"Gintama"
"Bungou Stray Dogs: STORM BRINGER"
"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen"
"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e"
"Tobaku Datenroku Kaiji: One Poker-hen"
"Golden Kamuy"
"Medalist"
"Tongari Boushi no Atelier"
"Shoujo Shuumatsu Ryokou"
"Skip to Loafer"
"Uchuu Kyoudai"
"BECK"
"Yokohama Kaidashi Kikou"
